Venue_ID,City,Venue
1,Abu Dhabi,Sheikh Zayed Stadium
2,Ahmedabad,Narendra Modi Stadium
3,Ahmedabad,"Sardar Patel Stadium, Motera"
4,Bengaluru,M.Chinnaswamy Stadium
5,Bloemfontein,OUTsurance Oval
6,Cape Town,Newlands
7,Centurion,SuperSport Park
8,Chandigarh,Punjab Cricket Association IS Bindra Stadium
9,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
10,Chennai,MA Chidambaram Stadium
11,Cuttack,Barabati Stadium
12,Delhi,Arun Jaitley Stadium
13,Delhi,Feroz Shah Kotla
14,Dharamsala,Himachal Pradesh Cricket Association Stadium
15,Dubai,Dubai International Cricket Stadium
16,Durban,Kingsmead
17,East London,Buffalo Park
18,Guwahati,Barsapara Cricket Stadium
19,Hyderabad,Rajiv Gandhi International Stadium
20,Indore,Holkar Cricket Stadium
21,Jaipur,Sawai Mansingh Stadium
22,Johannesburg,New Wanderers Stadium
23,Kanpur,Green Park
24,Kimberley,De Beers Diamond Oval
25,Kochi,Nehru Stadium
26,Kolkata,Eden Gardens
27,Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
28,Mohali,Maharaja Yadavindra Singh International Cricket Stadium
29,Mumbai,Brabourne Stadium
30,Mumbai,Dr DY Patil Sports Academy
31,Mumbai,Wankhede Stadium
32,Sharjah,Sharjah Cricket Stadium
33,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha"
34,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai"
35,Port Elizabeth,St George's Park
36,Pune,Maharashtra Cricket Association Stadium
37,Pune,Subrata Roy Sahara Stadium
38,Raipur,Shaheed Veer Narayan Singh International Stadium
39,Rajkot,Saurashtra Cricket Association Stadium
40,Ranchi,JSCA International Stadium Complex
41,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
